Rank;Name;Score;Federation;Gender;Rating;TPR;W-We;BH;SB
1;"Ma, Tim";4.0;NED;M;1861;2265;+0.33;11.0;11.0
2;"Leenen, Pomme";3.0;NED;V;1475;1511;+0.18; 9.5; 5.5
3;"Altay, Cagan Deniz";3.0;NED;M;1222;1487;+0.64; 9.0; 6.0
4;"Kokkula, Advaith Krishna";3.0;NED;M;1220;820;-0.08; 9.0; 5.0
5;"Leenen, Bing";3.0;NED;M;1302;1344;+0.19; 8.0; 4.0
6;"Chaudhuri, Aarini";2.5;NED;V;0;1097;+1.00; 5.5; 2.0
7;"Lalkota, Srikar";2.0;NED;M;1054;1237;+0.78; 9.5; 2.5
8;"Do, Leo";2.0;NED;M;0 *;1091;1091; 8.5; 2.5
9;"Satya Penugurti, Advika";2.0;NED;V;0 *;996; 996; 9.0; 3.0
10;"Marupudi, Maurya Kiran";2.0;NED;M;0 *;1186;+0.50; 8.0; 2.0
11;"Pata, Teodor-Stefan";2.0;NED;M;1498;1129;-1.59; 6.5; 1.5
12;"Methlouthi, Youssef";1.0;NED;M;737;296;-0.21; 8.0; 0.5
13;"Spahiev, Jordan";1.0;NED;M;773;373;-0.24; 7.0; 1.0
14;"Ding, David";1.0;NED;M;1207;1607;+0.08; 6.5; 0.5
15;"Udhaya Kumar, Medhini";1.5;NED;V;841;441;-0.08; 8.5; 1.75
