Rank;Name;Score;Federation;Gender;Rating;TPR;W-We;BH;SB
1;"Zhang, Xiheng";6.0;NED;M;2000;2112;+0.84;32.0;26.75
2;"Omnes, Tiago";5.5;NED;M;1829;1952;+1.16;31.0;23.5
3;"Dinanath, Hrdya";5.0;NED;M;2072;1957;-0.70;31.5;20.5
4;"Zhou, Yanyang";5.0;NED;M;1755;1892;+1.14;29.5;18.75
5;"Ma, Tim";4.5;NED;M;1861;1837;+0.08;31.5;18.5
6;"Van Heinsbergen, Jonathan";4.5;BEL;M;1761;1729;-0.01;27.5;15.0
7;"Srivatsa, Kirtin";4.5;NED;M;1754;1730;+0.02;27.5;14.5
8;"Verstegen, Jonas";4.0;NED;M;1594;1673;+0.48;29.0;14.5
9;"Huang, Vincent";4.0;NED;M;1743;1717;+0.00;27.5;11.5
10;"Zhang, Melody";4.0;NED;V;1492;1521;+0.06;24.0;11.0
11;"Plukkel, Guus";4.0;NED;M;1548;1474;-0.47;23.5;10.5
12;"Pata, Teodor-Stefan";4.0;NED;M;1509;1276;-1.12;22.5; 9.5
13;"Li, Vince";4.0;NED;M;1333;1374;+0.13;21.5;10.0
14;"Gafurov, Damir";3.5;NED;M;1457;1427;-0.17;22.5;10.25
15;"Malhan, Kiyaan";3.5;NED;M;1365;1317;-0.34;22.0; 6.25
16;"Lenting, Roan";3.0;NED;M;1881;1920;+0.33;31.0;12.5
17;"Methlouthi, Aly";3.0;NED;M;1182;1253;+0.24;25.5; 9.0
18;"Omnes, Zoë";3.0;NED;V;1417;1372;-0.48;24.0; 6.5
19;"Chaudhuri, Aarini";3.0;NED;V;0;1283;1283;23.5; 9.0
20;"Kao, Ko-En";3.0;NED;V;1137;1262;+0.27;21.0; 6.5
21;"Hamelink, Noah";3.0;NED;M;0;1123;1123;19.0; 5.0
22;"Jin, Jayden";3.0;NED;M;1090;674;-0.18;18.5; 5.0
23;"Satya Penugurti,Advika";2.0;NED;V;0 *;1238;1238;26.0; 6.5
24;"Marupudi, Maurya Kiran";2.0;NED;M;0;1162;1162;22.0; 4.5
25;"Engels, Devy";2.0;NED;M;1090;1085;-0.19;19.0; 2.5
26;"Staadegaard, Bas";2.0;NED;M;1087;1040;-0.49;18.0; 1.5
27;"Deijkers, Senn";2.0;NED;M;0;1018;1018;17.0; 2.0
28;"Kao, Cheng-Zhe Buddy";1.0;NED;M;870;379;-0.60;16.5; 0.5
